"method","n","gamma","dgp","bias","rmse","coverage","ci_width","na_frac"
"2SLS",2000,0.5,"linear",-0.101,0.516,97,2.016,0
"Post-Lasso",2000,0.5,"linear",-0.101,0.516,97,2.016,0
"DML-IV",2000,0.5,"linear",-0.11,0.51,97,2.016,0
"AIPW-IV",2000,0.5,"linear",-0.085,0.49,98,1.957,0
"IV-TMLE",2000,0.5,"linear",-0.086,0.495,97,1.937,0
"2SLS",2000,1,"linear",-0.019,0.21,96,0.892,0
"Post-Lasso",2000,1,"linear",-0.019,0.21,96,0.892,0
"DML-IV",2000,1,"linear",-0.014,0.213,96,0.897,0
"AIPW-IV",2000,1,"linear",0.011,0.26,93,1.026,0
"IV-TMLE",2000,1,"linear",0.013,0.256,93,0.999,0
"2SLS",2000,2,"linear",0.002,0.099,97,0.44,0
"Post-Lasso",2000,2,"linear",0.002,0.099,97,0.44,0
"DML-IV",2000,2,"linear",0,0.099,97,0.442,0
"AIPW-IV",2000,2,"linear",0.036,0.118,97,0.517,0
"IV-TMLE",2000,2,"linear",0.032,0.115,98,0.501,0
"2SLS",2000,0.5,"nonlinear",-0.082,0.824,97,3.648,0
"Post-Lasso",2000,0.5,"nonlinear",0.018,0.789,98,3.564,0
"DML-IV",2000,0.5,"nonlinear",-0.038,0.767,96,3.289,0
"AIPW-IV",2000,0.5,"nonlinear",-0.21,0.576,95,2.247,0
"IV-TMLE",2000,0.5,"nonlinear",-0.186,0.584,94,2.296,0
"2SLS",2000,1,"nonlinear",-0.039,0.377,98,1.648,0
"Post-Lasso",2000,1,"nonlinear",0,0.357,98,1.617,0
"DML-IV",2000,1,"nonlinear",-0.032,0.347,97,1.487,0
"AIPW-IV",2000,1,"nonlinear",-0.062,0.315,93,1.189,0
"IV-TMLE",2000,1,"nonlinear",-0.046,0.317,92,1.19,0
"2SLS",2000,2,"nonlinear",0.023,0.202,95,0.796,0
"Post-Lasso",2000,2,"nonlinear",0.023,0.2,95,0.794,0
"DML-IV",2000,2,"nonlinear",0.033,0.206,91,0.719,0
"AIPW-IV",2000,2,"nonlinear",0.019,0.173,93,0.606,0
"IV-TMLE",2000,2,"nonlinear",0.024,0.175,93,0.602,0
"2SLS",2000,0.5,"sparse",-0.038,0.474,100,2.096,0
"Post-Lasso",2000,0.5,"sparse",-0.034,0.466,100,2.037,0
"DML-IV",2000,0.5,"sparse",-0.035,0.476,100,2.094,0
"AIPW-IV",2000,0.5,"sparse",-0.124,0.433,99,1.913,0
"IV-TMLE",2000,0.5,"sparse",-0.119,0.445,99,1.925,0
"2SLS",2000,1,"sparse",0.016,0.211,94,0.882,0
"Post-Lasso",2000,1,"sparse",0.017,0.215,94,0.87,0
"DML-IV",2000,1,"sparse",0.017,0.216,95,0.885,0
"AIPW-IV",2000,1,"sparse",0.024,0.233,94,0.938,0
"IV-TMLE",2000,1,"sparse",0.024,0.235,93,0.932,0
"2SLS",2000,2,"sparse",0.008,0.107,97,0.439,0
"Post-Lasso",2000,2,"sparse",0.008,0.107,96,0.438,0
"DML-IV",2000,2,"sparse",0.01,0.108,98,0.441,0
"AIPW-IV",2000,2,"sparse",0.026,0.122,97,0.491,0
"IV-TMLE",2000,2,"sparse",0.023,0.12,97,0.484,0
"2SLS",1000,0.5,"linear",0.053,0.78,98,3.238,0
"Post-Lasso",1000,0.5,"linear",0.051,0.782,98,3.238,0
"DML-IV",1000,0.5,"linear",0.057,0.767,98,3.208,0
"AIPW-IV",1000,0.5,"linear",0.058,0.817,97,3.16,0
"IV-TMLE",1000,0.5,"linear",0.072,0.822,97,3.078,0
"2SLS",1000,1,"linear",-0.022,0.312,96,1.273,0
"Post-Lasso",1000,1,"linear",-0.022,0.312,96,1.273,0
"DML-IV",1000,1,"linear",-0.027,0.316,95,1.264,0
"AIPW-IV",1000,1,"linear",0.056,0.364,94,1.463,0
"IV-TMLE",1000,1,"linear",0.062,0.359,93,1.42,0
"2SLS",1000,2,"linear",0,0.144,94,0.628,0
"Post-Lasso",1000,2,"linear",0,0.144,94,0.628,0
"DML-IV",1000,2,"linear",-0.002,0.147,94,0.628,0
"AIPW-IV",1000,2,"linear",0.051,0.204,94,0.762,0
